City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,port augusta,-32.5,137.7667,10.89,52,52,6.05,AU,1689805140
151,belmonte,-15.8631,-38.8828,22.61,75,20,3.87,BR,1689805140
152,okhotsk,59.3833,143.3,18.03,67,88,3.14,RU,1689805140
153,nobres,-14.7203,-56.3275,27.93,40,95,2.73,BR,1689805141
154,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,94,100,4.0,RU,1689805141
155,as sulayyil,20.4607,45.5779,33.14,9,88,2.53,SA,1689805141
156,stonehaven,56.9637,-2.2118,12.29,92,99,1.43,GB,1689805141
157,wotho,10.1657,166.0102,28.5,79,97,4.21,MH,1689805141
158,dubbo,-32.25,148.6167,1.07,93,3,3.6,AU,1689805012
159,ust'-ilimsk,58.0006,102.6619,14.07,60,10,0.65,RU,1689805142
160,mumford,5.2618,-0.759,25.11,90,81,6.39,GH,1689805142
161,la'ie,21.6477,-157.9253,29.98,82,61,3.13,US,1689805142
162,noosa heads,-26.3833,153.15,15.62,72,25,4.35,AU,1689805143
163,mabaruma,8.2,-59.7833,25.85,86,50,2.13,GY,1689805143
164,shimoda,34.6667,138.95,26.98,84,43,1.37,JP,1689805143
165,east london,-33.0153,27.9116,12.82,68,94,6.39,ZA,1689804997
166,horta,38.5333,-28.6333,21.12,87,100,1.79,PT,1689805144
167,manismata,-2.4667,111.0333,22.54,99,96,1.29,ID,1689805144
168,taltal,-25.4,-70.4833,18.16,71,91,1.69,CL,1689805144
169,nishinoomote,30.7333,131.0,27.33,83,65,7.85,JP,1689805145
170,novyy urengoy,66.0833,76.6333,18.21,91,100,2.55,RU,1689805145
171,puerto rico,-26.796,-55.024,15.28,85,16,0.3,AR,1689805145
172,sinabang,2.4803,96.3801,24.71,93,100,4.52,ID,1689805146
173,punta arenas,-53.15,-70.9167,1.77,66,100,1.9,CL,1689805020
174,pimenta bueno,-11.6725,-61.1936,28.74,35,37,1.67,BR,1689805146
175,puerto deseado,-47.7503,-65.8938,5.37,71,85,4.48,AR,1689805146
176,darwin,-12.4611,130.8418,18.99,59,0,2.57,AU,1689805147
177,vorgashor,67.5833,63.95,15.7,85,80,2.45,RU,1689805147
178,kazanskoye,55.6448,69.235,15.12,93,84,2.41,RU,1689805147
179,holualoa,19.6228,-155.9522,28.91,75,75,4.63,US,1689805068
180,ma'rib,15.4591,45.3253,31.85,21,99,3.3,YE,1689805148
181,kapuskasing,49.4169,-82.4331,21.05,56,75,1.03,CA,1689805149
182,katsuura,35.1333,140.3,27.01,91,57,5.43,JP,1689805149
183,palmer,42.1584,-72.3287,29.17,50,40,3.09,US,1689805047
184,naze,28.3667,129.4833,25.51,85,97,4.48,JP,1689805150
185,bubaque,11.2833,-15.8333,27.13,82,71,6.67,GW,1689805150
186,zambezi,-13.5432,23.1047,13.79,41,0,1.59,ZM,1689805150
187,bardai,11.65,7.2333,25.44,71,100,4.56,NG,1689805150
188,lihue,21.9789,-159.3672,26.87,84,100,8.23,US,1689805021
189,persembe,41.0656,37.7714,21.68,81,0,2.49,TR,1689804941
190,malanje,-9.5402,16.341,19.28,44,0,1.83,AO,1689805151
191,vadso,70.0744,29.7487,9.49,87,75,8.75,NO,1689805151
192,howrah,22.5892,88.3103,28.0,89,75,1.54,IN,1689805152
193,puerto san jose,13.9256,-90.8244,31.49,61,53,4.39,GT,1689805152
194,fort bragg,35.139,-79.006,33.28,70,75,3.09,US,1689805152
195,susuman,62.7833,148.1667,16.0,66,96,1.51,RU,1689805152
196,margate,51.3813,1.3862,18.5,87,74,0.45,GB,1689805153
197,sao joao da barra,-21.6403,-41.0511,21.05,89,100,5.59,BR,1689805153
198,island harbour,50.724,-1.2758,17.77,78,0,1.34,GB,1689805153
199,hermanus,-34.4187,19.2345,10.57,70,51,4.57,ZA,1689805153
200,mo i rana,66.3128,14.1428,14.62,77,100,0.51,NO,1689805154
201,lodeynoye pole,60.726,33.5531,11.93,96,100,2.12,RU,1689804873
202,guerrero negro,27.9769,-114.0611,25.05,59,93,8.25,MX,1689805154
203,codrington,-38.2667,141.9667,9.78,53,100,11.46,AU,1689805154
204,tromso,69.6496,18.957,10.01,87,75,5.14,NO,1689805155
205,tarnogskiy gorodok,60.4997,43.5761,14.72,99,57,1.81,RU,1689805155
206,richards bay,-28.783,32.0377,16.78,70,100,6.92,ZA,1689804891
207,sal rei,16.1833,-22.9167,25.56,83,76,3.32,CV,1689805155
208,petrovsk-zabaykal'skiy,51.273,108.843,9.93,63,2,1.1,RU,1689805156
209,igarka,67.4667,86.5833,14.42,85,97,3.44,RU,1689805156
210,lukolela,-1.0605,17.1821,24.61,59,48,0.77,CD,1689805156
211,anori,-3.7728,-61.6442,29.67,51,45,0.89,BR,1689805157
212,cozumel,20.5083,-86.9458,32.19,79,75,6.17,MX,1689805157
213,kerema,-7.9631,145.7785,24.35,85,100,1.56,PG,1689805157
214,sao sepe,-30.1606,-53.5653,9.54,83,96,4.04,BR,1689805157
215,filingue,14.3521,3.3168,35.14,36,14,4.2,NE,1689805157
216,lazaro cardenas,17.9583,-102.2,32.01,66,40,6.1,MX,1689805158
217,nova sintra,14.8667,-24.7167,22.92,83,96,4.55,CV,1689805158
218,al ghayzah,16.2079,52.176,25.74,88,36,1.25,YE,1689805158
219,malinyi,-8.9333,36.1333,19.32,70,11,0.85,TZ,1689805158
220,doka,13.5167,35.7667,25.79,74,98,3.26,SD,1689805159
221,alofi,-19.0595,-169.9187,23.94,53,40,7.2,NU,1689805159
222,yeppoon,-23.1333,150.7333,16.88,77,7,5.19,AU,1689805159
223,carnarvon,-24.8667,113.6333,12.07,59,0,8.26,AU,1689805159
224,jabat,7.75,168.9751,28.75,76,70,7.02,MH,1689805159
225,san luis de la loma,17.2706,-100.8939,31.93,63,62,3.67,MX,1689805160
226,kulu,39.0951,33.0799,20.37,42,0,4.38,TR,1689805161
227,shijiang,27.0819,110.7933,23.81,97,96,0.77,CN,1689805161
228,conde,-7.2597,-34.9075,24.7,83,40,5.66,BR,1689804929
229,keflavik,64.0049,-22.5624,11.24,93,75,4.12,IS,1689805162
230,bulgan,48.8125,103.5347,12.45,91,90,1.1,MN,1689805162
231,al matlin,37.2452,10.05,29.77,65,0,4.48,TN,1689805162
232,pontes e lacerda,-15.2261,-59.3353,24.49,47,6,2.51,BR,1689805162
233,prineville,44.2999,-120.8345,34.88,14,0,3.09,US,1689805163
234,el granada,37.5027,-122.4694,30.04,71,75,8.75,US,1689805163
235,toliara,-23.35,43.6667,21.22,81,64,2.67,MG,1689805163
236,iskateley,67.6803,53.1512,13.17,83,13,5.14,RU,1689805163
237,nar'yan-mar,67.6713,53.087,13.23,83,13,5.18,RU,1689805164
238,koundara,12.4833,-13.3,24.92,92,35,2.64,GN,1689805164
239,caruaru,-8.2833,-35.9761,18.41,96,30,4.99,BR,1689805040
240,aldinga beach,-35.2793,138.4604,14.0,90,99,7.53,AU,1689805164
241,manokwari,-0.8667,134.0833,25.63,79,99,1.55,ID,1689805164
242,saint-philippe,-21.3585,55.7679,19.77,90,49,5.01,RE,1689805165
243,kiunga,-6.1219,141.2906,22.42,94,96,1.37,PG,1689805165
244,popricani,47.3,27.5167,21.79,74,20,9.39,RO,1689805165
245,civita castellana,42.2952,12.4092,27.46,91,10,1.59,IT,1689805165
246,kincardine,56.0667,-3.7167,14.15,93,60,1.54,GB,1689805166
247,mount pearl,47.5166,-52.7813,25.18,86,40,7.72,CA,1689805166
248,atafu village,-8.5421,-172.5159,28.7,77,62,7.28,TK,1689805166
249,marat,25.0701,45.4615,32.61,10,53,2.62,SA,1689805166
250,saipan,15.1355,145.701,30.39,100,20,5.66,MP,1689805167
251,vinogradovo,56.9333,37.55,14.15,73,99,5.14,RU,1689805167
252,hithadhoo,-0.6,73.0833,27.71,77,69,6.25,MV,1689805167
253,krumovgrad,41.4667,25.65,25.02,45,0,2.1,BG,1689805167
254,chinsali,-10.5414,32.0816,14.14,55,50,2.77,ZM,1689805167
255,fort st. john,56.2499,-120.8529,22.94,49,75,2.57,CA,1689805168
256,crane,31.3974,-102.3501,39.44,14,4,8.45,US,1689805168
257,san buenaventura,27.0833,-101.5333,39.06,22,0,3.22,MX,1689805168
258,menongue,-14.6585,17.691,12.32,40,0,0.88,AO,1689805168
259,santa marinella,42.0345,11.8536,26.95,86,7,2.71,IT,1689805169
260,kindu,-2.95,25.95,24.86,59,74,1.04,CD,1689804975
261,shouguang,36.88,118.7375,25.42,68,99,2.3,CN,1689805043
262,aasiaat,68.7098,-52.8699,5.09,99,100,0.33,GL,1689805169
263,ketchikan,55.3422,-131.6461,16.26,88,75,4.63,US,1689805169
264,sisimiut,66.9395,-53.6735,7.61,97,100,4.11,GL,1689805170
265,lesnoy,57.6198,63.0784,13.93,97,82,2.4,RU,1689805170
266,vyazemskiy,47.5378,134.7525,23.13,81,32,0.65,RU,1689805170
267,ilha de mocambique,-15.0342,40.7358,24.13,81,6,4.07,MZ,1689805170
268,aykhal,66.0,111.5,15.55,78,54,4.23,RU,1689805171
269,bac lieu,9.285,105.7244,24.2,93,99,6.64,VN,1689805171
